ANO;LOCALIDAD_RESIDENCIA;GRUPOS_EDAD_QUINQUENIOS;SEXO;CASOS;MUERTES
2020;02 - Chapinero;14. 60 a 64 años;M;340;23
2020;02 - Chapinero;21. 95 a 99 años;F;16;4
2020;02 - Chapinero;09. 35 a 39 años;M;838;3
2020;09 - Fontibón;09. 35 a 39 años;M;1294;5
2020;10 - Engativá;21. 95 a 99 años;M;13;6
2020;10 - Engativá;11. 45 A 49 años;M;1917;27
2020;10 - Engativá;08. 30 a 34 años;F;3382;
2020;10 - Engativá;06. 20 a 24 años;M;2354;2
2020;10 - Engativá;15. 65 a 69 años;F;1087;50
2020;10 - Engativá;19. 85 a 89 años;M;232;72
2020;06 - Tunjuelito;14. 60 a 64 años;M;317;24
2020;13 - Teusaquillo;07. 25 a 29 años;M;760;
2020;16 - Puente Aranda;10. 40 a 44 años;M;937;5
2020;16 - Puente Aranda;06. 20 a 24 años;F;975;
2020;17 - La Candelaria;13. 55 a 59 años;M;66;1
2020;04 - San Cristóbal;14. 60 a 64 años;M;562;41
2020;04 - San Cristóbal;03. 5 a 9 años;F;229;
2020;04 - San Cristóbal;07. 25 a 29 años;M;1328;1
2020;04 - San Cristóbal;06. 20 a 24 años;F;1300;1
2020;12 - Barrios Unidos;09. 35 a 39 años;F;670;1
2020;15 - Antonio Nariño;13. 55 a 59 años;F;278;4
2020;19 - Ciudad Bolívar;11. 45 A 49 años;F;1225;2
2020;18 - Rafael Uribe Uribe;15. 65 a 69 años;F;407;23
2020;18 - Rafael Uribe Uribe;20. 90 a 94 años;F;50;17
2021;05 - Usme;06. 20 a 24 años;F;1971;1
2021;05 - Usme;15. 65 a 69 años;F;473;22
2021;05 - Usme;05. 15 a 19 años;F;1097;
2021;07 - Bosa;14. 60 a 64 años;F;1521;74
2021;11 - Suba;07. 25 a 29 años;F;9716;8
2021;11 - Suba;21. 95 a 99 años;F;60;16
2021;03 - Santa Fe;19. 85 a 89 años;M;30;14
2021;08 - Kennedy;18. 80 a 84 años;F;497;101
2021;08 - Kennedy;13. 55 a 59 años;F;4401;90
2021;08 - Kennedy;06. 20 a 24 años;M;5579;5
2021;01 - Usaquén;09. 35 a 39 años;M;4020;14
2021;01 - Usaquén;06. 20 a 24 años;F;3951;2
2021;01 - Usaquén;05. 15 a 19 años;M;2014;
2021;10 - Engativá;19. 85 a 89 años;F;381;81
2021;16 - Puente Aranda;02. 1 a 4 años;F;173;
